HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command,Source,FPEProbeCount,FPETopologyCount,FPEStatusCounts,FPEPhaseLatencyMs,SourceSHA
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,agg,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=36, PERF_DATA_MISSING=80; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",,116,29,"BUILD_FAILED=36, PERF_DATA_MISSING=80",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,disagg,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=54, PERF_DATA_MISSING=120; raw probes=174; topologies=58; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",,174,58,"BUILD_FAILED=54, PERF_DATA_MISSING=120",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.20.0,agg,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=36, PERF_DATA_MISSING=80; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""b60"" --backend ""vllm"" --backend-version ""0.20.0"" --forward-model op_level --max-workers 8",,116,29,"BUILD_FAILED=36, PERF_DATA_MISSING=80",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.20.0,disagg,FAIL,"Strict-native op-level FPE probes: BUILD_FAILED=54, PERF_DATA_MISSING=120; raw probes=174; topologies=58; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: Invalid quantized MoE configuration: (moe_intermediate_size=1536 / moe_tp_size=16) % weight_block_size=128 != 0.","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M2.7"" --system ""b60"" --backend ""vllm"" --backend-version ""0.20.0"" --forward-model op_level --max-workers 8",,174,58,"BUILD_FAILED=54, PERF_DATA_MISSING=120",,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M3,MiniMaxM3ForCausalLM,b60,vllm,0.12.0,agg,FAIL,"Strict-native op-level FPE probes: PERF_DATA_MISSING=116; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: perf database error: MoE data missing for MoeKey { quant: ""bfloat16"", distribution: ""power_law_1.01"", topk: 4, num_experts: 128, hidden_size: 6144, inter_size: 3072, moe_tp_size: 1, moe_ep_size: 1 } at <repo>/python/aisimulate/src/aiconfigurator_core/systems/data/b60/vllm/0.12.0","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M3"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",,116,29,PERF_DATA_MISSING=116,,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M3,MiniMaxM3ForCausalLM,b60,vllm,0.12.0,disagg,FAIL,"Strict-native op-level FPE probes: PERF_DATA_MISSING=116; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: perf database error: MoE data missing for MoeKey { quant: ""bfloat16"", distribution: ""power_law_1.01"", topk: 4, num_experts: 128, hidden_size: 6144, inter_size: 3072, moe_tp_size: 1, moe_ep_size: 1 } at <repo>/python/aisimulate/src/aiconfigurator_core/systems/data/b60/vllm/0.12.0","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M3"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",,116,29,PERF_DATA_MISSING=116,,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M3,MiniMaxM3ForCausalLM,b60,vllm,0.20.0,agg,FAIL,"Strict-native op-level FPE probes: PERF_DATA_MISSING=116; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: perf database error: MoE data missing for MoeKey { quant: ""bfloat16"", distribution: ""power_law_1.01"", topk: 4, num_experts: 128, hidden_size: 6144, inter_size: 3072, moe_tp_size: 1, moe_ep_size: 1 } at <repo>/python/aisimulate/src/aiconfigurator_core/systems/data/b60/vllm/0.20.0","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M3"" --system ""b60"" --backend ""vllm"" --backend-version ""0.20.0"" --forward-model op_level --max-workers 8",,116,29,PERF_DATA_MISSING=116,,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
MiniMaxAI/MiniMax-M3,MiniMaxM3ForCausalLM,b60,vllm,0.20.0,disagg,FAIL,"Strict-native op-level FPE probes: PERF_DATA_MISSING=116; raw probes=116; topologies=29; source_sha=26dae1f99b2b50fb17118f38d8a8e95dfac3357c. Representative failure: perf database error: MoE data missing for MoeKey { quant: ""bfloat16"", distribution: ""power_law_1.01"", topk: 4, num_experts: 128, hidden_size: 6144, inter_size: 3072, moe_tp_size: 1, moe_ep_size: 1 } at <repo>/python/aisimulate/src/aiconfigurator_core/systems/data/b60/vllm/0.20.0","python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""MiniMaxAI/MiniMax-M3"" --system ""b60"" --backend ""vllm"" --backend-version ""0.20.0"" --forward-model op_level --max-workers 8",,116,29,PERF_DATA_MISSING=116,,26dae1f99b2b50fb17118f38d8a8e95dfac3357c
Qwen/Qwen3-0.6B,Qwen3ForCausalLM,b60,vllm,0.12.0,agg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""Qwen/Qwen3-0.6B"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",silicon,12,3,PASS=12,"decode_end=2528.499970, decode_start=9.867912, mixed=13.261283, prefill=9.598858",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
Qwen/Qwen3-0.6B,Qwen3ForCausalLM,b60,vllm,0.12.0,disagg,PASS,,"python python/aisimulate/tools/support_matrix/generate_fpe_support_matrix.py --model ""Qwen/Qwen3-0.6B"" --system ""b60"" --backend ""vllm"" --backend-version ""0.12.0"" --forward-model op_level --max-workers 8",silicon,12,3,PASS=12,"decode_end=2528.499970, decode_start=9.867912, mixed=13.261283, prefill=9.598858",26dae1f99b2b50fb17118f38d8a8e95dfac3357c
